Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km)
STARLINK-32362,2026-06-08T18:07:48Z,-8826.258652373004,262.0116631567522,47.249865023135094,50893462678.381546
STARLINK-32362,2026-06-08T18:07:49Z,-9756.18652751593,282.24503323590045,40.486185561795544,50919675659.729965
STARLINK-32362,2026-06-08T18:07:49Z,-9758.556879662761,282.24503323590045,40.486185561795544,50919675659.729965
STARLINK-32362,2026-06-08T18:07:52Z,-9555.16607903973,276.6138161044998,42.89242275863997,50904764270.46484
STARLINK-32362,2026-06-08T18:07:53Z,-9118.918339380338,280.98382582124015,41.0587990929203,50915700540.67142
STARLINK-32362,2026-06-08T18:07:53Z,-9718.721274670164,280.98382582124015,41.0587990929203,50915700540.67142
STARLINK-32362,2026-06-08T18:07:54Z,-9764.604654183837,282.39932951032495,40.404980910377176,50920179155.99577
STARLINK-32362,2026-06-08T18:07:55Z,-8989.997180046634,264.8876551100121,46.57331666137674,50893192192.31817
STARLINK-32362,2026-06-08T18:07:57Z,-9534.718929840608,276.0774221495396,43.08816891486776,50903721417.58349
STARLINK-32362,2026-06-08T18:07:58Z,-9725.217087407047,281.13934115514763,40.97981677662221,50916165104.77455
STARLINK-32362,2026-06-08T18:07:59Z,-9771.311719873487,278.41456816442326,42.15636382308463,50908778106.83589
STARLINK-32362,2026-06-08T18:07:59Z,-9628.366017285058,278.41456816442326,42.15636382308463,50908778106.83589
STARLINK-32362,2026-06-08T18:08:00Z,-9772.757523376004,252.87738111663666,48.76560503427578,50901716684.38255
STARLINK-32362,2026-06-08T18:08:00Z,-8271.195043123787,252.87738111663666,48.76560503427578,50901716684.38255
STARLINK-32362,2026-06-08T18:08:01Z,-8611.947986638474,258.29518737502514,47.94719343687522,50895759735.361534
STARLINK-32362,2026-06-08T18:08:02Z,-8918.77840619871,268.5818947764659,45.57290931600601,50894500495.314255
STARLINK-32362,2026-06-08T18:08:02Z,-9188.11518637378,268.5818947764659,45.57290931600601,50894500495.314255
STARLINK-32362,2026-06-08T18:08:03Z,-9417.489151574928,273.33669546621434,44.070618317326016,50899211387.19293
STARLINK-32362,2026-06-08T18:08:04Z,-9779.350906548409,280.03508177617385,41.4579462424704,50912967570.34496
STARLINK-32362,2026-06-08T18:08:04Z,-9689.253411188507,280.03508177617385,41.4579462424704,50912967570.34496
STARLINK-32362,2026-06-08T18:08:05Z,-8785.252260586407,261.1892435923548,47.3840613172661,50894052437.80954
STARLINK-32362,2026-06-08T18:08:06Z,-9553.53333122632,276.46825736071474,42.92094972215636,50904517687.73251
STARLINK-32362,2026-06-08T18:08:08Z,-9391.058926071993,282.25364203110666,40.44648988410959,50919666997.16282
STARLINK-32362,2026-06-08T18:08:08Z,-9764.01013579907,282.25364203110666,40.44648988410959,50919666997.16282
STARLINK-32362,2026-06-08T18:08:09Z,-9786.436095369238,282.9860052327005,40.09767078749692,50922140378.4969
STARLINK-32362,2026-06-08T18:08:10Z,-9034.944355144411,270.51311720370734,44.97955298068358,50896026715.28701
STARLINK-32362,2026-06-08T18:08:10Z,-9287.122485481177,270.51311720370734,44.97955298068358,50896026715.28701
STARLINK-32362,2026-06-08T18:08:11Z,-9501.91371404142,275.19514989001914,43.39091165478456,50902164447.623795
STARLINK-32362,2026-06-08T18:08:12Z,-9676.727411460577,248.89484639332767,49.16250453717015,50908500111.07374
STARLINK-32362,2026-06-08T18:08:12Z,-8010.335898003745,248.89484639332767,49.16250453717015,50908500111.07374
STARLINK-32362,2026-06-08T18:08:13Z,-8375.532766618284,254.4205719982485,48.531766019790076,50899963225.19114
STARLINK-32362,2026-06-08T18:08:14Z,-8706.06828419288,280.38320708336227,41.28623900461166,50913940700.40287
STARLINK-32362,2026-06-08T18:08:14Z,-9704.229867245102,280.38320708336227,41.28623900461166,50913940700.40287
STARLINK-32362,2026-06-08T18:08:15Z,-9706.83880762422,280.4534442601191,41.253962414277034,50914140025.41496
STARLINK-32362,2026-06-08T18:08:17Z,-9484.205370446938,274.73456307673706,43.54595170067676,50901416951.26273
STARLINK-32362,2026-06-08T18:08:18Z,-9013.97154595114,265.16700010914064,46.45161196789596,50893532460.2614
STARLINK-32362,2026-06-08T18:08:19Z,-9661.74700169394,280.57529568379243,41.19116223553289,50914486658.727776
STARLINK-32362,2026-06-08T18:08:19Z,-9712.327947945134,280.57529568379243,41.19116223553289,50914486658.727776
STARLINK-32362,2026-06-08T18:08:20Z,-8877.322582867035,262.6934892045666,47.02803096476543,50893777314.55888
STARLINK-32362,2026-06-08T18:08:22Z,-9782.585549277997,282.7393358480146,40.1912477462019,50921257867.31528
STARLINK-32362,2026-06-08T18:08:23Z,-9458.86755170406,279.2744172228187,41.74837147674577,50910947199.82753
STARLINK-32362,2026-06-08T18:08:23Z,-9667.573752109407,279.2744172228187,41.74837147674577,50910947199.82753
STARLINK-32362,2026-06-08T18:08:24Z,-9719.488917184839,280.7475706939704,41.10569751123946,50914981887.15118
STARLINK-32362,2026-06-08T18:08:25Z,-9559.896287689848,280.80760907240403,41.07637270264896,50915155936.60866
STARLINK-32362,2026-06-08T18:08:25Z,-9721.887374110896,280.80760907240403,41.07637270264896,50915155936.60866
STARLINK-32362,2026-06-08T18:08:26Z,-8124.100579679758,250.49626123111167,48.97546240611423,50906051163.948235
STARLINK-32362,2026-06-08T18:08:27Z,-8481.284235131428,261.3149039071607,47.30706623451199,50894374546.66672
STARLINK-32362,2026-06-08T18:08:27Z,-8801.045909306311,261.3149039071607,47.30706623451199,50894374546.66672
STARLINK-32362,2026-06-08T18:08:28Z,-9085.956863926582,266.43986140471947,46.10491545607391,50893875956.45236
STARLINK-32362,2026-06-08T18:08:29Z,-9329.865160003334,280.9604133066774,41.000376104140926,50915601433.9246
STARLINK-32362,2026-06-08T18:08:29Z,-9728.125277753203,280.9604133066774,41.000376104140926,50915601433.9246
STARLINK-32362,2026-06-08T18:08:30Z,-9773.623558134976,283.0787767815009,40.01299255525407,50922399466.730415
STARLINK-32362,2026-06-08T18:08:30Z,-9794.93295873864,283.0787767815009,40.01299255525407,50922399466.730415
STARLINK-32362,2026-06-08T18:08:31Z,-9478.337810735122,274.49653027714936,43.603466752288085,50901102237.55364
STARLINK-32362,2026-06-08T18:08:33Z,-9302.21389656458,270.65980726152134,44.88479797812731,50896359196.805305
STARLINK-32362,2026-06-08T18:08:34Z,-9711.156156627492,281.1442180942182,40.90756823609301,50916142331.280556
STARLINK-32362,2026-06-08T18:08:34Z,-9735.704190547569,281.1442180942182,40.90756823609301,50916142331.280556
STARLINK-32362,2026-06-08T18:08:35Z,-8922.390511194082,263.3924920939474,46.836472935311185,50893859538.89529
STARLINK-32362,2026-06-08T18:08:36Z,-9191.942356059233,273.18038916616024,44.05435151642733,50899208232.68223
STARLINK-32362,2026-06-08T18:08:36Z,-9421.549146090882,273.18038916616024,44.05435151642733,50899208232.68223
STARLINK-32362,2026-06-08T18:08:37Z,-9612.02965091878,277.68912164757285,42.37649024170729,50907174541.362625
STARLINK-32362,2026-06-08T18:08:38Z,-9762.60491650915,252.02082329834622,48.777843899776244,50903921911.38954
STARLINK-32362,2026-06-08T18:08:38Z,-8230.197274216112,252.02082329834622,48.777843899776244,50903921911.38954
STARLINK-32362,2026-06-08T18:08:39Z,-8575.469165288192,257.4538182370362,48.003615351336705,50897239283.71612
STARLINK-32362,2026-06-08T18:08:40Z,-9786.634205043756,278.5598148561004,42.01459594767988,50909188753.73924
STARLINK-32362,2026-06-08T18:08:40Z,-9646.258219576543,278.5598148561004,42.01459594767988,50909188753.73924
STARLINK-32362,2026-06-08T18:08:42Z,-9746.75680745793,281.41466037977193,40.769914252002216,50916948776.65435
STARLINK-32362,2026-06-08T18:08:43Z,-9400.189477083275,272.6641413976,44.215627790034844,50898585354.32022
STARLINK-32362,2026-06-08T18:08:44Z,-8898.840324653165,281.5137122923272,40.720991111343075,50917248832.37355
STARLINK-32362,2026-06-08T18:08:44Z,-9750.507976940107,281.5137122923272,40.720991111343075,50917248832.37355
STARLINK-32362,2026-06-08T18:08:45Z,-9793.239036898058,282.8904339218474,40.07650830386967,50921707355.84437
STARLINK-32362,2026-06-08T18:08:46Z,-8007.907316777228,254.18672159739535,48.4844735252877,50901041276.21751
STARLINK-32362,2026-06-08T18:08:46Z,-8373.753035747195,254.18672159739535,48.4844735252877,50901041276.21751
STARLINK-32362,2026-06-08T18:08:47Z,-8704.981837881836,264.74464882704996,46.48938773284322,50893921107.46504
STARLINK-32362,2026-06-08T18:08:47Z,-9001.872879869272,264.74464882704996,46.48938773284322,50893921107.46504
STARLINK-32362,2026-06-08T18:08:48Z,-9259.476234431699,269.67959317961146,45.15153337109514,50895692348.60574
STARLINK-32362,2026-06-08T18:08:49Z,-9478.644850826802,278.8140382809449,41.89075090780521,50909815203.26996
STARLINK-32362,2026-06-08T18:08:49Z,-9658.464082039087,278.8140382809449,41.89075090780521,50909815203.26996
STARLINK-32362,2026-06-08T18:08:50Z,-9632.896706183566,278.1276181186892,42.172759350783785,50908189007.132706
STARLINK-32362,2026-06-08T18:08:51Z,-9712.252002405303,280.3100660720959,41.24755253502359,50913721998.73984
STARLINK-32362,2026-06-08T18:08:53Z,-9232.487987720066,269.10065516662513,45.31140547344973,50895347084.643074
STARLINK-32362,2026-06-08T18:08:54Z,-8677.586294093111,259.04352907953205,47.68879891499165,50896211759.48412
STARLINK-32362,2026-06-08T18:08:55Z,-9667.627336053549,280.47051638562164,41.16808104392533,50914168199.19225
STARLINK-32362,2026-06-08T18:08:55Z,-9719.060391152318,280.47051638562164,41.16808104392533,50914168199.19225
STARLINK-32362,2026-06-08T18:08:56Z,-9744.21834857375,281.2184420040484,40.83274180073546,50916336613.40974
STARLINK-32362,2026-06-08T18:08:59Z,-9203.30499192773,278.4834236712176,42.00856923687321,50909031703.77106
STARLINK-32362,2026-06-08T18:08:59Z,-9649.10454181423,278.4834236712176,42.00856923687321,50909031703.77106
STARLINK-32362,2026-06-08T18:09:00Z,-9676.595458793474,279.22447931460243,41.69760277761534,50910843592.360054
STARLINK-32362,2026-06-08T18:09:01Z,-8801.151916808487,266.16167877413136,46.10322508462686,50894236178.45075
STARLINK-32362,2026-06-08T18:09:01Z,-9083.395281834693,266.16167877413136,46.10322508462686,50894236178.45075
STARLINK-32362,2026-06-08T18:09:02Z,-9329.848234516237,275.64630630401314,43.11719599191212,50903179970.90597
STARLINK-32362,2026-06-08T18:09:02Z,-9537.584953519428,275.64630630401314,43.11719599191212,50903179970.90597
STARLINK-32362,2026-06-08T18:09:03Z,-9707.584457345054,280.07110885669766,41.327886207058164,50913061088.154686
STARLINK-32362,2026-06-08T18:09:04Z,-8073.751898750065,255.0197323623441,48.3236861488821,50900416985.15653
STARLINK-32362,2026-06-08T18:09:04Z,-8433.950363853739,255.0197323623441,48.3236861488821,50900416985.15653
STARLINK-32362,2026-06-08T18:09:05Z,-9733.83768298928,280.82576527548923,40.991552473721185,50915172076.75332
STARLINK-32362,2026-06-08T18:09:06Z,-9758.314048481883,281.569495567382,40.6544238425028,50917382882.97079
STARLINK-32362,2026-06-08T18:09:08Z,-9688.262748639734,270.4819788589654,44.86393619113111,50896513544.71092
STARLINK-32362,2026-06-08T18:09:08Z,-9305.88418471008,270.4819788589654,44.86393619113111,50896513544.71092
STARLINK-32362,2026-06-08T18:09:09Z,-8771.07157699974,260.524727286689,47.37096618798913,50895511652.55474
STARLINK-32362,2026-06-08T18:09:10Z,-9692.305113017936,281.0198407951121,40.894654484500144,50915729942.40678
STARLINK-32362,2026-06-08T18:09:10Z,-9741.755166917974,281.0198407951121,40.894654484500144,50915729942.40678
STARLINK-32362,2026-06-08T18:09:11Z,-9764.224709110133,281.70959092049554,40.580302334823735,50917803926.22204
STARLINK-32362,2026-06-08T18:09:12Z,-8224.011910634057,257.1581608105761,47.97448250343199,50898220916.60828
