Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours),Timestamp
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:47.499111,7589.599931167134,41.01237136323724,204.97078171696904,708.4759707759742,14.580510303611112,2026-06-12 20:51:47.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:48.499111,4909.555195335071,41.02503237907567,204.19257100362088,708.314106817204,14.580510303611112,2026-06-12 20:51:48.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:49.499111,2228.06249706163,41.03198462160371,203.4138471113567,708.2216765077593,14.580510303611112,2026-06-12 20:51:49.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:50.499111,-454.0869799823937,41.03322008154261,202.6348985825159,708.1987071071663,14.580510303611112,2026-06-12 20:51:50.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:51.499111,-3136.1010852672944,41.02873704236482,201.85601445673504,708.245205368397,14.580510303611112,2026-06-12 20:51:51.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:52.499111,-5817.187867382519,41.018540086166325,201.07748362838865,708.3611575274635,14.580510303611112,2026-06-12 20:51:52.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:53.499111,-8496.55673706456,41.00264007872151,200.2995942055296,708.546529324311,14.580510303611112,2026-06-12 20:51:53.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:54.499111,-11173.419627389876,40.981054134027794,199.52263287261383,708.8012660525036,14.580510303611112,2026-06-12 20:51:54.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:55.499111,-13846.992144286436,40.95380555837548,198.7468842614335,709.1252926398912,14.580510303611112,2026-06-12 20:51:55.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:56.499111,-16516.494704912304,40.92092377446424,197.9726303332084,709.5185137583213,14.580510303611112,2026-06-12 20:51:56.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:57.499111,-19181.15365948184,40.88244422598694,197.20014977535155,709.9808139629408,14.580510303611112,2026-06-12 20:51:57.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:58.499111,-21840.2023933474,40.83840826336749,196.429717415892,710.5120578600349,14.580510303611112,2026-06-12 20:51:58.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:59.499111,-24492.88240455333,40.78886301135132,195.6616036589112,711.1120903033819,14.580510303611112,2026-06-12 20:51:59.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:52:00.499111,-27138.44435513856,40.73386121936359,194.89607394323065,711.7807366179022,14.580510303611112,2026-06-12 20:52:00.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:52:01.499111,-29776.14909147861,40.67346109553095,194.13338822734664,712.5178028505254,14.580510303611112,2026-06-12 20:52:01.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:52:02.499111,-32405.268630645445,40.60772612550406,193.3738005028416,713.323076046489,14.580510303611112,2026-06-12 20:52:02.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:52:03.499111,-35025.087110925226,40.536724877110416,192.61755833803105,714.1963245513704,14.580510303611112,2026-06-12 20:52:03.499111
