Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km),Timestamp
STARLINK-30776,2026-06-08T18:12:36Z,-194231.85766063596,86.6165709370001,40.611949280148345,820.3746457662018,2026-06-08 18:12:36+00:00
STARLINK-30776,2026-06-08T18:12:37Z,-195272.34965525527,86.6018400226028,40.25304931497488,825.4222573405447,2026-06-08 18:12:37+00:00
STARLINK-32464,2026-06-08T18:12:48Z,-187405.915240518,113.87348997536374,43.36542240918061,579.1495711075718,2026-06-08 18:12:48+00:00
STARLINK-32464,2026-06-08T18:12:49Z,-189153.33012160863,113.64927621152395,42.8550013395215,584.0291243567375,2026-06-08 18:12:49+00:00
STARLINK-32464,2026-06-08T18:12:50Z,-190857.08102044344,113.43247456516738,42.3521187846524,588.9533955308294,2026-06-08 18:12:50+00:00
STARLINK-32464,2026-06-08T18:12:51Z,-192518.22773784236,113.22273346684464,41.85668220039123,593.9212668247148,2026-06-08 18:12:51+00:00
STARLINK-32464,2026-06-08T18:12:52Z,-194137.81739963187,113.01972284951388,41.36859598257111,598.9316477726965,2026-06-08 18:12:52+00:00
STARLINK-32464,2026-06-08T18:12:53Z,-195716.8831431923,112.8231325673942,40.88776194172376,603.9834746982582,2026-06-08 18:12:53+00:00
STARLINK-32464,2026-06-08T18:12:54Z,-197256.44313490856,112.6326709279006,40.41407968701344,609.0757106780563,2026-06-08 18:12:54+00:00
STARLINK-34311,2026-06-08T18:13:05Z,7059.607393822479,59.22624017054295,-51.25901960677192,398065884488.15967,2026-06-08 18:13:05+00:00
STARLINK-34311,2026-06-08T18:13:06Z,-10388.82992956936,237.02745430917355,-19.41507124030299,401267360985.8669,2026-06-08 18:13:06+00:00
STARLINK-34311,2026-06-08T18:13:07Z,-223.27059896181296,316.12538963802484,88.59278574137814,398454278255.9572,2026-06-08 18:13:07+00:00
STARLINK-34311,2026-06-08T18:13:08Z,10430.545999856531,58.03675650195362,-20.54764745963774,397151295388.3111,2026-06-08 18:13:08+00:00
STARLINK-34311,2026-06-08T18:13:09Z,-7048.446696312734,235.89733431737216,-49.586905241026,400855465350.776,2026-06-08 18:13:09+00:00
STARLINK-34311,2026-06-08T18:13:10Z,-5813.841036114202,239.84778872176503,59.19648785558089,399645367902.3014,2026-06-08 18:13:10+00:00
STARLINK-34311,2026-06-08T18:13:11Z,10869.105101358597,57.27640278608523,10.271014649643991,396755974768.2168,2026-06-08 18:13:11+00:00
STARLINK-34311,2026-06-08T18:13:12Z,-1776.0843011414868,229.7940169602899,-79.7993051001589,399936876290.93005,2026-06-08 18:13:12+00:00
